iPhone 11 64GB,"Apple chính thức trình làng bộ ba siêu phẩm iPhone 11 được cho là cao cấp nhất cho đến thời điểm hiện tại. Theo đó, sở hữu iPhone 11 64GB mạnh mẽ với A13 hay iOS 13 huyền bí luôn là niềm ao ước của bao tín đồ công nghệ đặc biệt là iFans. Hơn thế, iPhone 11 sản xuất năm nay còn được nhiều chuyên gia nhận định là sản phẩm có hiệu năng mạnh mẽ và toàn diện nhất trong giới công nghệ, cùng với đó là tổ hợp nhiều cải tiến tính năng thông minh mang lại hiệu quả cực cao cho người trải nghiệm siêu phẩm.",18000000,7,1,iphone-11.jpg,3.3,4,42312
iPhone 12 64GB,"Lần đầu tiên, Apple đã vén màn tận 4 phiên bản smartphone trong một sự kiện ra mắt của mình, Trong đó, iPhone 12 64GB được xem là sự kế nhiệm cho thế hệ 11 ra mắt năm ngoái. So với thế hệ tiền nhiệm, mẫu điện thoại mang đến một sự lột xác chỉnh chu hơn để đáp ứng kì vọng của người dùng.",23000000,15,1,iphone-12.jpg,2.1,10,2134
iPhone 12 Pro 128GB,Apple đã không để giới mộ điệu công nghệ chờ đợi lâu hơn khoảnh khắc iPhone 12 Pro 128GB được ra mắt. Bạn có thể khám phá chi tiết những điểm nổi bật của thiết bị với phiên bản có dung lượng lưu trữ 128GB tại đây.,31000000,20,1,iphone-12-pro.jpg,4.1,11,86442
iPhone 12 Mini 64GB,"Lỡ hẹn tại sự kiện Time Flies, cuối cùng thế hệ smartphone được mong chờ nhất của nhà Táo đã chính thức ra mắt với những nâng cấp rất đáng giá. Lần đầu tiên Apple đã ra mắt một phiên bản iPhone có kích thước nhỏ gọn nhưng vẫn sở hữu cấu hình cao cấp tương đương với các flagship đầu bảng. Sự ra mắt của iPhone 12 mini 64GB được cho là sẽ phù hợp cho những ai tìm kiếm một mẫu điện thoại nhỏ, đi cùng cấu hình thuộc hàng flagship nhưng mức giá lại vô cùng phù hợp với những người có kinh tế không quá dư giả.",19000000,15,1,iphone-12-mini.jpg,4.2,22,1972
iPhone 8 Plus 64GB,"iPhone 8 Plus 64GB Cũ - Nét cuốn hút của gã phù thuỷ iPhone 8 Plus 64GB Cũ - Nét cuốn hút của gã phù thuỷ. Có lẽ khi nhắc đến cái tên Apple, chúng ta sẽ hình dung ra ngay đến hình tượng một “quả táo cắn dở”, một thương hiệu đã chạm đến đỉnh cao quyền lực trong thế giới công nghệ với những sản phẩm thuộc hạng cao cấp như iPhone, iPad, Macbook,…. Nhưng có lẽ ít ai biết rằng Apple còn có một biệt hiệu khác gây ấn tượng sâu sắc và khiến cho không ít cảm xúc của người dùng phải trải qua các cung bậc ngạc nhiên, phấn khích và bùng nổ trong bất ngờ mỗi khi nghe đến, đó chính là “thầy phù thuỷ xứ Cupertino”.  ",16000000,10,1,iphone-8-plus.jpg,2.9,31,221
iPhone 7 Plus 64GB,"iPhone 7 Plus cũ 32GB giá rẻ đang được bày bán tại 24hStore. Đây là chiếc điện thoại đang gây đình đám nhất hiện nay với cấu hình cực khủng và khả năng chống nước cực cao. Sản phẩm được bảo hành chính hãng Apple theo thời gian kích hoạt máy hoặc bảo hành tại 24hStore. Với sự toàn diện về cả thiết kế, tính năng lẫn hiệu năng, lại có giá bán rẻ hơn hàng mới, đây là chiếc điện thoại rất đáng để sở hữu.",11000000,10,1,iphone-7-plus.jpg,3.9,2,3346
iPhone 11 Pro 64GB,"Không ngoài mong đợi, Apple đã bám sát kế hoạch ba điện thoại trong năm nay 2019, đó là: iPhone 11, iPhone 11 Pro và iPhone 11 Pro Max - là những sản phẩm kế nhiệm tương ứng của iPhone XR, iPhone XS và iPhone XS Max. Theo đó, iPhone 11 Pro 64GB sẽ là mẫu điện thoại kế nhiệm cho chiếc iPhone XS cao cấp trước đó. Liệu chăng phiên bản iPhone 11 với tên gọi ""Pro"" có điểm gì đặc biệt hơn so với người họ hàng Táo Khuyết, hãy cùng chúng tôi khám phá ngay trong bài đánh giá tổng quan dưới đây nhé.",35000000,10,1,iphone-11-Pro.jpg,4,5,213
iPhone 6s 16GB,"iPhone 6s Plus 16GB cũ là một trong những chọn lựa tốt nhất vào thời điểm hiện tại bởi giá tiền và chất lượng. So với hàng mới 100% thì iPhone 6s Plus cũ có mức giá rẻ hơn rất nhiều vì thế đây cũng là lý do được nhiều người chọn mua. Ngoài ra chất lượng và hiệu năng của dòng sản phẩm iPhone thì không phải bàn cải, với hiệu năng tốt, thiết kế đẹp cùng camera cho chất lượng ảnh tốt nhất nhì thị trường thì đây quả là một lựa chọn đáng giá.",7000000,35,1,iphone_6s.jpg,3.7,7,686
iPhone 6s Plus 16GB,"iPhone 6s Plus 16GB cũ là một trong những chọn lựa tốt nhất vào thời điểm hiện tại bởi giá tiền và chất lượng. So với hàng mới 100% thì iPhone 6s Plus cũ có mức giá rẻ hơn rất nhiều vì thế đây cũng là lý do được nhiều người chọn mua. Ngoài ra chất lượng và hiệu năng của dòng sản phẩm iPhone thì không phải bàn cải, với hiệu năng tốt, thiết kế đẹp cùng camera cho chất lượng ảnh tốt nhất nhì thị trường thì đây quả là một lựa chọn đáng giá.",12000000,60,1,iphone-6s-plus.jpg,3.8,22,9758
iPhone 7 32GB,"Tính cho đến trước thời điểm iPhone 8 ra mắt thì iPhone 7 chính là kẻ giữ vị trí “độc tôn” trên bảng xếp hạnh doanh thu của Apple trong nửa đầu năm 2017 (theo thống kê của trang Strategy Analytics). Chất lượng và sự hấp dẫn của siêu phẩm iPhone 7 32GB Cũ đã được tất cả người dùng trên thế giới chứng nhận. Và dĩ nhiên khi “cập bến” thị trường Việt Nam thì iPhone 7 cũ cũng đã gây ra một “cơn sốt” không nhỏ. Để giải toả cơn sốt đó, các bạn hãy theo dõi bài viết dưới đây nhé !",11500000,60,1,iphone-7.jpg,4.5,21,656
